"work_id","size_id","sale_price","regular_price"
24041,6048,675.00,1275.00
24041,6854,805.00,1535.00
24043,30,95.00,95.00
24043,24,85.00,85.00
24043,3024,305.00,535.00
24043,3226,325.00,575.00
24043,3629,375.00,675.00
24043,4030,405.00,735.00
24043,4836,495.00,915.00
24043,6048,675.00,1275.00
24043,6854,805.00,1535.00
24047,3624,335.00,595.00
24047,4630,425.00,775.00
24047,5436,535.00,995.00
24047,6040,605.00,1135.00
24047,7248,765.00,1455.00
24049,20,75.00,75.00
24049,24,85.00,85.00
24049,30,95.00,95.00
24049,3624,335.00,595.00
24049,4630,425.00,775.00
24049,5436,535.00,995.00
24049,6040,605.00,1135.00
24049,7248,765.00,1455.00
24051,30,95.00,95.00
24051,24,85.00,85.00
24051,20,75.00,75.00
24051,3024,305.00,535.00
24051,3226,325.00,575.00
24051,3629,375.00,675.00
24051,4030,405.00,735.00
24051,4836,495.00,915.00
24051,6048,675.00,1275.00
24051,6854,805.00,1535.00
24053,30,95.00,95.00
24053,24,85.00,85.00
24053,2424,285.00,495.00
24053,3030,355.00,635.00
24053,3636,415.00,755.00
24053,4040,475.00,875.00
24053,4848,585.00,1095.00
24053,6060,795.00,1515.00
24059,36,125.00,125.00
24059,30,95.00,95.00
24059,24,85.00,85.00
24059,3624,335.00,595.00
24059,4630,425.00,775.00
24059,5436,535.00,995.00
24059,6040,605.00,1135.00
24059,7248,765.00,1455.00
24061,30,95.00,95.00
24061,24,85.00,85.00
24061,3024,305.00,535.00
24061,3226,325.00,575.00
24061,3629,375.00,675.00
24061,4030,405.00,735.00
24061,4836,495.00,915.00
24061,6048,675.00,1275.00
24061,6854,805.00,1535.00
24064,36,125.00,125.00
24064,30,95.00,95.00
24064,24,85.00,85.00
24064,3624,335.00,595.00
24064,4630,425.00,775.00
24064,5436,535.00,995.00
24064,6040,605.00,1135.00
24064,7248,765.00,1455.00
24066,36,125.00,125.00
24066,30,95.00,95.00
24066,24,85.00,85.00
24066,3624,335.00,595.00
24066,4630,425.00,775.00
24066,5436,535.00,995.00
24066,6040,605.00,1135.00
24066,7248,765.00,1455.00
24068,30,95.00,95.00
24068,24,85.00,85.00
24068,3629,375.00,675.00
24068,4030,405.00,735.00
24068,4836,495.00,915.00
24068,6048,675.00,1275.00
24068,6854,805.00,1535.00
24070,24,85.00,85.00
24070,30,95.00,95.00
24070,2424,285.00,495.00
24070,3030,355.00,635.00
24070,3636,415.00,755.00
24070,4040,475.00,875.00
24070,4848,585.00,1095.00
164850,36,125.00,125.00
164850,30,95.00,95.00
164850,24,85.00,85.00
164850,20,75.00,75.00
164850,3624,355.00,595.00
164850,4630,445.00,775.00
164850,5436,555.00,995.00
164850,6040,625.00,1135.00
24072,24,85.00,85.00
24072,30,95.00,95.00
24072,3624,355.00,595.00
24072,4630,445.00,775.00
24072,5436,555.00,995.00
24072,6040,625.00,1135.00
24072,7248,785.00,1455.00
198873,3629,375.00,675.00
198873,4030,405.00,735.00
198873,4836,495.00,915.00
198873,6048,675.00,1275.00
198873,6854,805.00,1535.00
24074,24,85.00,85.00
24074,30,95.00,95.00
24074,36,125.00,125.00
24074,3624,335.00,595.00
24074,4630,425.00,775.00
24074,5436,535.00,995.00
24074,6040,605.00,1135.00
24074,7248,765.00,1455.00
24078,30,95.00,95.00
24078,24,85.00,85.00
24078,3024,305.00,535.00
24078,3226,325.00,575.00
24078,3629,375.00,675.00
24078,4030,405.00,735.00
24078,4836,495.00,915.00
24078,6048,675.00,1275.00
24078,6854,805.00,1535.00
204794,36,125.00,125.00
204794,30,95.00,95.00
204794,24,85.00,85.00
204794,3624,335.00,595.00
204794,4630,425.00,775.00
204794,5436,535.00,995.00
204794,6040,605.00,1135.00
204794,7248,765.00,1455.00
164862,36,125.00,125.00
164862,30,95.00,95.00
164862,24,85.00,85.00
164862,20,75.00,75.00
164862,3024,305.00,535.00
164862,3226,325.00,575.00
164862,3629,375.00,675.00
164862,4030,405.00,735.00
164862,4836,495.00,915.00
164862,6048,675.00,1275.00
198863,3624,335.00,595.00
198863,4630,425.00,775.00
198863,5436,535.00,995.00
198863,6040,605.00,1135.00
198863,7248,765.00,1455.00
24084,30,95.00,95.00
24084,24,85.00,85.00
24084,3024,305.00,535.00
24084,3226,325.00,575.00
24084,3629,375.00,675.00
24084,4030,405.00,735.00
24084,4836,495.00,915.00
24084,6048,675.00,1275.00
24084,6854,805.00,1535.00
29914,1620,215.00,355.00
29914,2024,245.00,415.00
29914,2430,285.00,495.00
29914,2632,305.00,535.00
29914,2936,355.00,635.00
29914,3040,385.00,695.00
29914,3648,475.00,875.00
29914,4860,655.00,1235.00
29914,5468,785.00,1495.00
126089,1620,215.00,355.00
126089,2024,245.00,415.00
126089,2430,285.00,495.00
126089,2632,305.00,535.00
126089,2936,355.00,635.00
126089,3040,385.00,695.00
126089,3648,475.00,875.00
126089,4860,655.00,1235.00
126089,5468,785.00,1495.00
126219,2016,215.00,355.00
126219,2420,245.00,415.00
126219,3024,285.00,495.00
126219,3226,305.00,535.00
126219,3629,355.00,635.00
126219,4030,385.00,695.00
126219,4836,475.00,875.00
126219,6048,655.00,1235.00
126219,6854,785.00,1495.00
126208,2016,215.00,355.00
126208,2420,245.00,415.00
126208,3024,285.00,495.00
126208,3226,305.00,535.00
126208,3629,355.00,635.00
126208,4030,385.00,695.00
126208,4836,475.00,875.00
126208,6048,655.00,1235.00
126208,6854,785.00,1495.00
29916,2016,215.00,355.00
29916,2420,245.00,415.00
29916,3024,285.00,495.00
29916,3226,305.00,535.00
29916,3629,355.00,635.00
29916,4030,385.00,695.00
29916,4836,475.00,875.00
29916,6048,655.00,1235.00
29916,6854,785.00,1495.00
126109,1620,215.00,355.00
126109,2024,245.00,415.00
126109,2430,285.00,495.00
126109,2632,305.00,535.00
126109,2936,355.00,635.00
126109,3040,385.00,695.00
126109,3648,475.00,875.00
126109,4860,655.00,1235.00
126109,5468,785.00,1495.00
126164,2016,215.00,355.00
126164,2420,245.00,415.00
126164,3024,285.00,495.00
126164,3226,305.00,535.00
126164,3629,355.00,635.00
126164,4030,385.00,695.00
126164,4836,475.00,875.00
126164,6048,655.00,1235.00
126164,6854,785.00,1495.00
126175,2016,215.00,355.00
126175,2420,245.00,415.00
126175,3024,285.00,495.00
126175,3226,305.00,535.00
126175,3629,355.00,635.00
126175,4030,385.00,695.00
126175,4836,475.00,875.00
126175,6048,655.00,1235.00
126175,6854,785.00,1495.00
126186,2016,215.00,355.00
126186,2420,245.00,415.00
126186,3024,285.00,495.00
126186,3226,305.00,535.00
126186,3629,355.00,635.00
126186,4030,385.00,695.00
126186,4836,475.00,875.00
126186,6048,655.00,1235.00
126186,6854,785.00,1495.00
126285,2020,245.00,405.00
126285,2424,265.00,445.00
126285,3030,335.00,585.00
126285,3636,395.00,705.00
126285,4040,455.00,825.00
126285,4848,565.00,1045.00
126285,6060,775.00,1465.00
126230,2016,215.00,355.00
126230,2420,245.00,415.00
126230,3024,285.00,495.00
126230,3226,305.00,535.00
126230,3629,355.00,635.00
126230,4030,385.00,695.00
126230,4836,475.00,875.00
126230,6048,655.00,1235.00
126230,6854,785.00,1495.00
29918,2016,215.00,355.00
29918,2420,245.00,415.00
29918,3024,285.00,495.00
29918,3226,305.00,535.00
29918,3629,355.00,635.00
29918,4030,385.00,695.00
29918,4836,475.00,875.00
29918,6048,655.00,1235.00
29918,6854,785.00,1495.00
29920,2016,215.00,355.00
29920,2420,245.00,415.00
29920,3024,285.00,495.00
29920,3226,305.00,535.00
29920,3629,355.00,635.00
29920,4030,385.00,695.00
29920,4836,475.00,875.00
29920,6048,655.00,1235.00
29920,6854,785.00,1495.00
126294,2020,245.00,405.00
126294,2424,265.00,445.00
126294,3030,335.00,585.00
126294,3636,395.00,705.00
126294,4040,455.00,825.00
126294,4848,565.00,1045.00
126294,6060,775.00,1465.00
126120,1620,215.00,355.00
126120,2024,245.00,415.00
126120,2430,285.00,495.00
126120,2632,305.00,535.00
126120,2936,355.00,635.00
126120,3040,385.00,695.00
126120,3648,475.00,875.00
126120,4860,655.00,1235.00
126120,5468,785.00,1495.00
126241,2016,215.00,355.00
126241,2420,245.00,415.00
126241,3024,285.00,495.00
126241,3226,305.00,535.00
126241,3629,355.00,635.00
126241,4030,385.00,695.00
126241,4836,475.00,875.00
126241,6048,655.00,1235.00
126241,6854,785.00,1495.00
29922,2016,215.00,355.00
29922,2420,245.00,415.00
29922,3024,285.00,495.00
29922,3226,305.00,535.00
29922,3629,355.00,635.00
29922,4030,385.00,695.00
29922,4836,475.00,875.00
29922,6048,655.00,1235.00
29922,6854,785.00,1495.00
29924,2416,235.00,395.00
29924,3020,275.00,475.00
29924,3624,315.00,555.00
29924,4630,405.00,735.00
29924,5436,515.00,955.00
29924,6040,585.00,1095.00
29924,7248,745.00,1415.00
126263,2016,215.00,355.00
126263,2420,245.00,415.00
126263,3024,285.00,495.00
126263,3226,305.00,535.00
126263,3629,355.00,635.00
126263,4030,385.00,695.00
126263,4836,475.00,875.00
126263,6048,655.00,1235.00
126263,6854,785.00,1495.00
126252,2016,215.00,355.00
126252,2420,245.00,415.00
126252,3024,285.00,495.00
126252,3226,305.00,535.00
126252,3629,355.00,635.00
126252,4030,385.00,695.00
126252,4836,475.00,875.00
126252,6048,655.00,1235.00
126252,6854,785.00,1495.00
126131,1620,215.00,355.00
126131,2024,245.00,415.00
126131,2430,285.00,495.00
126131,2632,305.00,535.00
126131,2936,355.00,635.00
126131,3040,385.00,695.00
126131,3648,475.00,875.00
126131,4860,655.00,1235.00
126131,5468,785.00,1495.00
126197,2016,215.00,355.00
126197,2420,245.00,415.00
126197,3024,285.00,495.00
126197,3226,305.00,535.00
126197,3629,355.00,635.00
126197,4030,385.00,695.00
126197,4836,475.00,875.00
126197,6048,655.00,1235.00
126197,6854,785.00,1495.00
126153,1620,215.00,355.00
126153,2024,245.00,415.00
126153,2430,285.00,495.00
126153,2632,305.00,535.00
126153,2936,355.00,635.00
126153,3040,385.00,695.00
126153,3648,475.00,875.00
126153,4860,655.00,1235.00
126153,5468,785.00,1495.00
126274,2016,215.00,355.00
126274,2420,245.00,415.00
126274,3024,285.00,495.00
126274,3226,305.00,535.00
126274,3629,355.00,635.00
126274,4030,385.00,695.00
126274,4836,475.00,875.00
126274,6048,655.00,1235.00
126274,6854,785.00,1495.00
126142,1620,215.00,355.00
126142,2024,245.00,415.00
126142,2430,285.00,495.00
126142,2632,305.00,535.00
126142,2936,355.00,635.00
126142,3040,385.00,695.00
126142,3648,475.00,875.00
126142,4860,655.00,1235.00
126142,5468,785.00,1495.00
5093,3624,315.00,555.00
5093,4630,405.00,735.00
5093,5436,515.00,955.00
5093,6040,585.00,1095.00
5093,7248,745.00,1415.00
5095,30,95.00,95.00
5095,24,85.00,85.00
5095,20,75.00,75.00
5095,3624,315.00,555.00
5095,4630,405.00,735.00
5095,5436,515.00,955.00
5095,6040,585.00,1095.00
5095,7248,745.00,1415.00
5097,30,95.00,95.00
5097,24,85.00,85.00
5097,3624,315.00,555.00
5097,4630,405.00,735.00
5097,5436,515.00,955.00
5097,6040,585.00,1095.00
5099,24,85.00,85.00
5099,30,95.00,95.00
5099,3624,315.00,555.00
5099,4630,405.00,735.00
5099,5436,515.00,955.00
5099,6040,585.00,1095.00
5099,7248,745.00,1415.00
5101,3624,315.00,555.00
5101,4630,405.00,735.00
5101,5436,515.00,955.00
5101,6040,585.00,1095.00
5101,7248,745.00,1415.00
5103,3624,315.00,555.00
5103,4630,405.00,735.00
5103,5436,515.00,955.00
5103,6040,585.00,1095.00
5103,7248,745.00,1415.00
5105,24,85.00,85.00
5105,30,95.00,95.00
5105,3624,315.00,555.00
5105,4630,405.00,735.00
5105,5436,515.00,955.00
5105,6040,585.00,1095.00
5105,7248,745.00,1415.00
5109,3624,315.00,555.00
5109,4630,405.00,735.00
5109,5436,515.00,955.00
5109,6040,585.00,1095.00
5109,7248,745.00,1415.00
185353,2436,315.00,555.00
